shipment_id,origin,destination,distance_km,route_type,departure_hour,day_of_week,is_weekend,carrier_id,carrier_reliability_score,weather_severity,traffic_congestion,has_news_disruption,delay_probability,delayed
SHP-000001,Delhi,Kolkata,1415.4,highway,2,0,0,CARRIER_016,0.7472,8.38,5.38,0,0.1673,0
SHP-000002,Delhi,Chennai,2251.0,highway,22,2,0,CARRIER_003,0.5567,2.11,1.53,0,0.1809,0
SHP-000003,Guwahati,Patna,1042.8,highway,12,5,1,CARRIER_007,0.7255,8.72,8.29,1,0.5787,1
SHP-000004,Pune,Bangalore,784.0,mixed,23,2,0,CARRIER_003,0.5136,4.2,2.34,1,0.259,0
SHP-000005,Pune,Bangalore,763.4,highway,9,1,0,CARRIER_009,0.7647,3.08,7.6,0,0.3584,0
SHP-000006,Hyderabad,Kolkata,1481.9,highway,19,6,1,CARRIER_007,0.7053,9.84,5.37,0,0.6329,1
SHP-000007,Delhi,Kolkata,1582.2,highway,7,1,0,CARRIER_017,0.7133,6.88,5.15,1,0.5528,1
SHP-000008,Guwahati,Patna,1019.9,mixed,10,0,0,CARRIER_016,0.878,2.91,5.35,1,0.1491,0
SHP-000009,Mumbai,Ahmedabad,551.4,highway,8,2,0,CARRIER_018,0.5617,5.3,9.75,0,0.5006,1
SHP-000010,Delhi,Kolkata,1470.9,highway,13,0,0,CARRIER_009,0.8555,6.43,5.85,0,0.1388,0
SHP-000011,Lucknow,Patna,501.9,highway,5,4,0,CARRIER_011,0.6578,7.12,0.44,1,0.4622,1
SHP-000012,Chennai,Kolkata,1670.6,highway,12,3,0,CARRIER_018,0.6044,2.09,9.56,0,0.2875,0
SHP-000013,Mumbai,Kolkata,1928.8,mixed,20,6,1,CARRIER_015,0.9031,6.17,2.82,0,0.1611,0
SHP-000014,Delhi,Chennai,2278.6,mixed,3,1,0,CARRIER_019,0.7584,8.47,4.7,0,0.1902,0
SHP-000015,Mumbai,Kolkata,1925.8,highway,19,1,0,CARRIER_020,0.6907,8.04,8.23,0,0.5008,0
SHP-000016,Delhi,Chennai,2089.0,mixed,20,4,0,CARRIER_002,0.5979,2.94,0.85,0,0.1257,0
SHP-000017,Lucknow,Patna,530.7,highway,0,4,0,CARRIER_005,0.9959,9.7,2.33,0,0.2209,0
SHP-000018,Bangalore,Chennai,349.1,mixed,16,2,0,CARRIER_015,0.8236,0.13,8.77,0,0.0555,0
SHP-000019,Bangalore,Delhi,2193.4,highway,11,6,1,CARRIER_002,0.5709,7.79,1.17,1,0.7075,1
SHP-000020,Jaipur,Lucknow,562.9,highway,15,5,1,CARRIER_002,0.5252,3.17,5.17,0,0.0522,0
SHP-000021,Lucknow,Patna,574.5,mixed,7,4,0,CARRIER_003,0.5242,9.41,1.86,0,0.3503,0
SHP-000022,Chennai,Hyderabad,672.8,mixed,5,5,1,CARRIER_002,0.5809,8.61,3.54,0,0.2519,0
SHP-000023,Hyderabad,Pune,602.5,mixed,6,3,0,CARRIER_014,0.6471,8.81,7.9,0,0.3734,1
SHP-000024,Pune,Delhi,1487.6,local,3,3,0,CARRIER_006,0.8028,2.52,9.59,0,0.4892,1
SHP-000025,Delhi,Chennai,2238.9,mixed,9,3,0,CARRIER_019,0.8626,7.96,5.74,0,0.5994,0
SHP-000026,Indore,Bhopal,199.3,mixed,20,5,1,CARRIER_003,0.4967,3.33,3.62,0,0.2082,0
SHP-000027,Pune,Bangalore,829.1,highway,18,0,0,CARRIER_010,0.6494,4.47,0.8,0,0.3132,0
SHP-000028,Bangalore,Delhi,2073.5,highway,4,0,0,CARRIER_014,0.5837,9.04,4.01,0,0.6306,0
SHP-000029,Lucknow,Patna,539.8,local,13,3,0,CARRIER_008,0.7884,7.2,8.14,1,0.7654,1
SHP-000030,Pune,Bangalore,760.3,local,1,4,0,CARRIER_015,0.9812,6.41,7.57,0,0.2093,0
SHP-000031,Jaipur,Lucknow,513.9,mixed,1,1,0,CARRIER_017,0.7032,1.29,3.56,0,0.1271,1
SHP-000032,Mumbai,Ahmedabad,567.3,highway,15,4,0,CARRIER_013,0.967,5.38,1.7,0,0.1446,0
SHP-000033,Delhi,Kolkata,1363.9,highway,7,0,0,CARRIER_013,0.8927,1.24,5.44,0,0.1585,0
SHP-000034,Ahmedabad,Indore,402.0,highway,16,1,0,CARRIER_012,0.7306,0.75,8.32,0,0.2082,0
SHP-000035,Hyderabad,Kolkata,1534.5,mixed,3,3,0,CARRIER_020,0.6034,9.47,5.62,0,0.4262,1
SHP-000036,Delhi,Kolkata,1409.5,highway,2,0,0,CARRIER_016,0.8716,5.92,5.42,0,0.0965,0
SHP-000037,Hyderabad,Kolkata,1618.7,mixed,17,4,0,CARRIER_002,0.6151,0.06,7.07,0,0.3966,0
SHP-000038,Bangalore,Delhi,2016.7,highway,4,3,0,CARRIER_016,0.7684,4.69,1.29,1,0.2314,0
SHP-000039,Delhi,Jaipur,301.5,highway,1,3,0,CARRIER_004,0.5318,2.87,6.19,0,0.0552,0
SHP-000040,Indore,Bhopal,205.3,mixed,18,3,0,CARRIER_018,0.5754,1.54,0.78,1,0.6395,0
SHP-000041,Hyderabad,Pune,531.0,highway,16,4,0,CARRIER_007,0.6365,8.19,1.6,1,0.2073,1
SHP-000042,Delhi,Chennai,2027.7,mixed,22,4,0,CARRIER_014,0.6104,1.54,0.51,0,0.1674,0
SHP-000043,Mumbai,Kolkata,1974.7,highway,14,4,0,CARRIER_015,0.8807,1.66,6.14,0,0.0878,0
SHP-000044,Chennai,Hyderabad,617.1,local,11,1,0,CARRIER_008,0.6684,2.33,9.64,0,0.2147,1
SHP-000045,Delhi,Kolkata,1423.7,local,16,4,0,CARRIER_020,0.6827,7.12,1.48,0,0.2012,0
SHP-000046,Chennai,Kolkata,1825.6,mixed,19,1,0,CARRIER_011,0.642,1.91,4.71,0,0.141,0
SHP-000047,Pune,Bangalore,794.6,highway,15,0,0,CARRIER_009,0.7675,3.21,8.94,0,0.2971,1
SHP-000048,Hyderabad,Kolkata,1599.2,highway,7,6,1,CARRIER_010,0.5432,9.02,8.5,0,0.9094,1
SHP-000049,Guwahati,Patna,922.5,local,21,1,0,CARRIER_007,0.5762,5.65,4.23,0,0.2878,0
SHP-000050,Delhi,Chennai,2389.4,mixed,16,0,0,CARRIER_003,0.5334,1.73,7.45,0,0.1141,1
SHP-000051,Delhi,Chennai,2060.3,mixed,21,2,0,CARRIER_020,0.626,8.6,0.43,0,0.1726,0
SHP-000052,Hyderabad,Pune,551.2,mixed,13,6,1,CARRIER_017,0.7833,5.12,7.57,0,0.1785,0
SHP-000053,Chennai,Hyderabad,637.4,local,10,6,1,CARRIER_017,0.7609,8.34,7.26,1,0.6926,1
SHP-000054,Jaipur,Lucknow,526.7,local,20,5,1,CARRIER_019,0.7397,0.79,5.83,0,0.1522,0
SHP-000055,Jaipur,Lucknow,606.1,mixed,14,1,0,CARRIER_013,0.9292,1.62,1.14,0,0.1791,1
SHP-000056,Mumbai,Delhi,1336.9,mixed,18,4,0,CARRIER_020,0.6644,0.92,2.96,0,0.1392,0
SHP-000057,Lucknow,Patna,535.2,mixed,21,5,1,CARRIER_020,0.6563,4.81,1.72,1,0.4303,0
SHP-000058,Hyderabad,Pune,565.6,mixed,6,2,0,CARRIER_005,0.9669,3.87,0.59,0,0.0599,0
